ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000065,CUST091295,Unauthorized Transaction,2024-10-15,0
TICKET000066,CUST036195,ATM Withdrawal Failed,2025-03-17,0
TICKET000067,CUST069376,Card Not Working,2025-01-24,6
TICKET000068,CUST049206,Poor Customer Service,2025-02-04,0
TICKET000069,CUST074812,KYC Verification Delay,2024-10-18,8
TICKET000070,CUST038125,Loan Application Rejected,2025-01-10,2
TICKET000071,CUST085924,Mobile App Issues,2024-05-17,0
TICKET000072,CUST023262,Poor Customer Service,2024-06-27,0
TICKET000073,CUST084742,Mobile App Issues,2025-04-19,9
TICKET000074,CUST006947,Unauthorized Transaction,2025-02-22,10
TICKET000075,CUST022208,Delayed Refund,2024-06-07,9
TICKET000076,CUST084039,Incorrect Charges,2025-02-02,0
TICKET000077,CUST070816,Loan Application Rejected,2025-01-19,7
TICKET000078,CUST075333,Incorrect Charges,2024-10-10,8
TICKET000079,CUST023970,Delayed Refund,2024-08-02,6
TICKET000080,CUST064854,Poor Customer Service,2024-10-20,10
TICKET000081,CUST063958,Mobile App Issues,2024-06-24,2
TICKET000082,CUST084367,Card Not Working,2024-06-29,0
TICKET000083,CUST079462,Loan Application Rejected,2024-06-08,6
TICKET000084,CUST049847,Account Locked,2024-05-10,2
TICKET000085,CUST036133,Incorrect Charges,2024-06-09,3
TICKET000086,CUST040506,Mobile App Issues,2024-09-10,8
TICKET000087,CUST054380,Poor Customer Service,2025-01-18,9
TICKET000088,CUST046537,KYC Verification Delay,2024-05-28,5
TICKET000089,CUST081701,Account Locked,2024-09-21,6
TICKET000090,CUST092745,Account Locked,2024-09-10,5
TICKET000091,CUST008197,Delayed Refund,2024-08-21,8
TICKET000092,CUST043865,Loan Application Rejected,2024-05-21,5
TICKET000093,CUST013766,ATM Withdrawal Failed,2025-04-21,4
TICKET000094,CUST060883,Loan Application Rejected,2024-10-25,2
TICKET000095,CUST021904,KYC Verification Delay,2024-05-19,5
TICKET000096,CUST016701,Mobile App Issues,2024-08-29,2
TICKET000097,CUST072316,Loan Application Rejected,2024-12-08,3
TICKET000098,CUST065793,Incorrect Charges,2024-09-10,1
TICKET000099,CUST030798,Incorrect Charges,2025-04-06,3
TICKET000100,CUST023217,ATM Withdrawal Failed,2024-12-06,9
TICKET000101,CUST097468,Unauthorized Transaction,2025-02-22,3
TICKET000102,CUST052228,Poor Customer Service,2024-05-23,10
TICKET000103,CUST081710,Incorrect Charges,2024-12-22,8
TICKET000104,CUST053412,Account Locked,2024-06-17,6
TICKET000105,CUST043315,Mobile App Issues,2024-06-24,5
TICKET000106,CUST028015,Unauthorized Transaction,2024-09-18,5
TICKET000107,CUST066915,Mobile App Issues,2024-06-07,9
TICKET000108,CUST031582,Loan Application Rejected,2025-04-17,4
TICKET000109,CUST095390,Delayed Refund,2024-12-07,7
TICKET000110,CUST040694,Incorrect Charges,2024-10-07,3
TICKET000111,CUST009624,Mobile App Issues,2024-09-06,7
TICKET000112,CUST083526,KYC Verification Delay,2024-09-01,9
TICKET000113,CUST092633,Loan Application Rejected,2024-07-20,9
TICKET000114,CUST064395,Card Not Working,2024-06-08,4
TICKET000115,CUST052719,Card Not Working,2024-05-18,3
TICKET000116,CUST013015,Delayed Refund,2024-12-19,1
TICKET000117,CUST039497,Card Not Working,2025-02-22,2
TICKET000118,CUST078969,Card Not Working,2025-03-02,0
TICKET000119,CUST043549,Account Locked,2024-05-31,7
TICKET000120,CUST087055,Delayed Refund,2024-08-07,4
TICKET000121,CUST064884,Poor Customer Service,2024-05-18,5
TICKET000122,CUST051279,Incorrect Charges,2025-03-27,0
TICKET000123,CUST079573,Incorrect Charges,2025-01-25,10
TICKET000124,CUST054564,Mobile App Issues,2024-05-10,5
TICKET000125,CUST016027,Account Locked,2024-08-26,10
TICKET000126,CUST038548,Unauthorized Transaction,2025-04-10,0
TICKET000127,CUST061627,Unauthorized Transaction,2024-08-08,1
TICKET000128,CUST039047,Mobile App Issues,2024-09-06,3
TICKET000129,CUST010214,Card Not Working,2024-06-13,9
TICKET000130,CUST048879,Card Not Working,2024-06-15,0
TICKET000131,CUST098552,KYC Verification Delay,2024-08-03,4
TICKET000132,CUST016690,ATM Withdrawal Failed,2025-01-19,9
TICKET000133,CUST011440,Poor Customer Service,2025-01-24,6
TICKET000134,CUST023154,Loan Application Rejected,2024-11-30,6
TICKET000135,CUST012813,Delayed Refund,2024-11-28,3
TICKET000136,CUST016105,Loan Application Rejected,2025-03-02,7
TICKET000137,CUST050582,Unauthorized Transaction,2025-04-11,9
TICKET000138,CUST051947,Incorrect Charges,2024-11-16,5
TICKET000139,CUST058162,Mobile App Issues,2025-05-04,6
TICKET000140,CUST093734,KYC Verification Delay,2024-05-13,6
TICKET000141,CUST015009,Loan Application Rejected,2025-01-13,8
TICKET000142,CUST074922,Poor Customer Service,2024-11-13,2
TICKET000143,CUST027584,ATM Withdrawal Failed,2024-07-23,0
TICKET000144,CUST074475,Unauthorized Transaction,2024-12-26,1
TICKET000145,CUST035617,Loan Application Rejected,2025-01-09,1
TICKET000146,CUST014216,Delayed Refund,2025-01-24,2
TICKET000147,CUST034798,Unauthorized Transaction,2025-03-03,10
TICKET000148,CUST006533,Delayed Refund,2025-02-05,2
TICKET000149,CUST026890,Card Not Working,2024-11-18,0
TICKET000150,CUST082288,Mobile App Issues,2024-07-31,10
TICKET000151,CUST002332,Unauthorized Transaction,2024-07-19,3
TICKET000152,CUST009390,Unauthorized Transaction,2024-10-21,3
TICKET000153,CUST088187,Mobile App Issues,2024-12-08,9
TICKET000154,CUST024130,Mobile App Issues,2024-05-10,6
TICKET000155,CUST025525,Mobile App Issues,2024-09-11,10
TICKET000156,CUST024518,Poor Customer Service,2024-11-15,6
TICKET000157,CUST038478,Loan Application Rejected,2024-12-01,8
TICKET000158,CUST067060,Card Not Working,2024-12-13,2
TICKET000159,CUST080909,Mobile App Issues,2025-04-27,1
TICKET000160,CUST047965,Card Not Working,2024-11-14,0
TICKET000161,CUST053204,Account Locked,2025-04-07,5
TICKET000162,CUST024296,Poor Customer Service,2024-09-10,9
TICKET000163,CUST099640,KYC Verification Delay,2025-03-02,8
TICKET000164,CUST029243,Poor Customer Service,2025-05-02,0
TICKET000165,CUST031357,Account Locked,2024-06-22,4
TICKET000166,CUST041748,Account Locked,2025-04-12,1
TICKET000167,CUST084634,Poor Customer Service,2024-10-31,4
TICKET000168,CUST040856,Mobile App Issues,2024-07-19,9
TICKET000169,CUST026731,Unauthorized Transaction,2024-09-19,7
TICKET000170,CUST034504,ATM Withdrawal Failed,2024-06-25,10
TICKET000171,CUST059834,Account Locked,2024-10-08,9
TICKET000172,CUST007995,Card Not Working,2024-10-30,4
TICKET000173,CUST053516,Account Locked,2024-06-15,10
TICKET000174,CUST064554,Mobile App Issues,2025-04-17,10
TICKET000175,CUST064370,Loan Application Rejected,2025-01-19,0
TICKET000176,CUST001606,Incorrect Charges,2025-02-22,0
TICKET000177,CUST022633,ATM Withdrawal Failed,2024-05-18,5
TICKET000178,CUST095023,Incorrect Charges,2025-01-29,10
TICKET000179,CUST088186,ATM Withdrawal Failed,2024-09-03,4
TICKET000180,CUST027359,Unauthorized Transaction,2025-02-08,8
TICKET000181,CUST058217,Unauthorized Transaction,2025-01-17,10
TICKET000182,CUST095830,Account Locked,2025-03-21,4
TICKET000183,CUST090421,Poor Customer Service,2024-06-14,1
TICKET000184,CUST087927,KYC Verification Delay,2025-01-12,0
TICKET000185,CUST022138,Incorrect Charges,2024-07-20,3
TICKET000186,CUST062211,Unauthorized Transaction,2025-04-29,0
TICKET000187,CUST082253,Card Not Working,2024-05-13,3
TICKET000188,CUST040602,Incorrect Charges,2024-06-25,1
TICKET000189,CUST048137,Mobile App Issues,2024-06-22,5
TICKET000190,CUST093301,Poor Customer Service,2025-01-12,9
TICKET000191,CUST082552,Loan Application Rejected,2025-04-29,9
TICKET000192,CUST014306,Card Not Working,2024-07-21,2
TICKET000193,CUST076076,Account Locked,2025-01-11,8
TICKET000194,CUST042122,ATM Withdrawal Failed,2025-05-06,0
TICKET000195,CUST027657,Incorrect Charges,2025-01-16,6
TICKET000196,CUST041349,ATM Withdrawal Failed,2024-09-10,4
TICKET000197,CUST062537,Poor Customer Service,2024-07-30,2
TICKET000198,CUST048379,Delayed Refund,2025-01-09,9
TICKET000199,CUST074217,Card Not Working,2024-07-09,10
TICKET000200,CUST058076,Mobile App Issues,2024-05-22,9
TICKET000201,CUST056440,Card Not Working,2024-08-29,2
TICKET000202,CUST068170,Delayed Refund,2024-06-26,3
TICKET000203,CUST079454,Unauthorized Transaction,2024-07-12,7
TICKET000204,CUST018887,Card Not Working,2024-05-21,7
TICKET000205,CUST098118,Loan Application Rejected,2024-12-05,10
TICKET000206,CUST097675,Card Not Working,2024-09-08,4
TICKET000207,CUST058046,Loan Application Rejected,2025-04-15,4
TICKET000208,CUST085032,Incorrect Charges,2025-01-10,1
TICKET000209,CUST062789,Delayed Refund,2024-12-08,5
TICKET000210,CUST018165,ATM Withdrawal Failed,2024-09-15,6
TICKET000211,CUST027342,Unauthorized Transaction,2024-09-13,3
TICKET000212,CUST082281,Account Locked,2025-03-11,9
TICKET000213,CUST067940,Mobile App Issues,2024-06-06,4
TICKET000214,CUST014628,Unauthorized Transaction,2024-11-08,6
TICKET000215,CUST069687,ATM Withdrawal Failed,2025-02-26,5
TICKET000216,CUST034419,Card Not Working,2025-02-26,2
TICKET000217,CUST018546,Loan Application Rejected,2024-05-09,9
TICKET000218,CUST074733,Poor Customer Service,2024-06-04,8
TICKET000219,CUST078447,Card Not Working,2024-07-14,4
TICKET000220,CUST071726,Card Not Working,2024-05-15,4
TICKET000221,CUST071836,Card Not Working,2024-06-21,3
TICKET000222,CUST077185,ATM Withdrawal Failed,2024-06-04,4
TICKET000223,CUST060981,Card Not Working,2024-10-31,8
TICKET000224,CUST076635,Delayed Refund,2025-01-10,2
TICKET000225,CUST080756,ATM Withdrawal Failed,2025-01-01,4
TICKET000226,CUST007943,Unauthorized Transaction,2025-03-28,6
TICKET000227,CUST090670,Incorrect Charges,2024-06-28,5
TICKET000228,CUST089316,Loan Application Rejected,2025-04-29,0
TICKET000229,CUST075462,Card Not Working,2025-02-28,10
TICKET000230,CUST090729,Poor Customer Service,2024-10-04,8
TICKET000231,CUST039680,Mobile App Issues,2024-07-24,8
TICKET000232,CUST026318,Delayed Refund,2025-01-06,0
TICKET000233,CUST016669,Loan Application Rejected,2024-08-28,9
TICKET000234,CUST099339,Delayed Refund,2024-08-23,8
TICKET000235,CUST093854,Loan Application Rejected,2024-08-03,6
TICKET000236,CUST058049,KYC Verification Delay,2024-05-29,5
TICKET000237,CUST073160,Unauthorized Transaction,2025-03-19,10
TICKET000238,CUST057799,Incorrect Charges,2024-06-21,5
TICKET000239,CUST018831,Delayed Refund,2025-02-04,3
TICKET000240,CUST084137,Incorrect Charges,2024-08-22,5
TICKET000241,CUST012842,Account Locked,2024-07-04,2
TICKET000242,CUST089942,Incorrect Charges,2024-06-08,5
TICKET000243,CUST083897,ATM Withdrawal Failed,2024-10-12,2
TICKET000244,CUST016818,KYC Verification Delay,2024-12-04,9
TICKET000245,CUST095185,Poor Customer Service,2024-08-02,1
TICKET000246,CUST079371,KYC Verification Delay,2024-05-18,4
TICKET000247,CUST021729,Poor Customer Service,2024-12-25,4
TICKET000248,CUST038200,Incorrect Charges,2024-05-08,8
TICKET000249,CUST019285,KYC Verification Delay,2024-11-02,2
TICKET000250,CUST007885,ATM Withdrawal Failed,2024-12-27,3
TICKET000251,CUST040098,KYC Verification Delay,2025-04-26,2
TICKET000252,CUST061637,Poor Customer Service,2025-05-03,3
TICKET000253,CUST049752,Unauthorized Transaction,2024-05-14,9
TICKET000254,CUST026600,Mobile App Issues,2024-12-05,4
TICKET000255,CUST099678,Unauthorized Transaction,2025-02-15,5
TICKET000256,CUST033678,Card Not Working,2024-08-25,6
TICKET000257,CUST081743,Mobile App Issues,2024-07-13,10
TICKET000258,CUST008851,Loan Application Rejected,2024-07-28,2
TICKET000259,CUST090299,KYC Verification Delay,2024-06-30,7
TICKET000260,CUST001212,Unauthorized Transaction,2024-06-20,1
TICKET000261,CUST038419,Poor Customer Service,2024-09-27,1
TICKET000262,CUST033369,Mobile App Issues,2024-06-19,0
TICKET000263,CUST005147,Delayed Refund,2024-10-20,10
TICKET000264,CUST064000,ATM Withdrawal Failed,2024-06-28,1
TICKET000265,CUST092318,Mobile App Issues,2025-04-25,9
TICKET000266,CUST054684,Mobile App Issues,2024-07-23,0
TICKET000267,CUST084638,Loan Application Rejected,2025-03-10,1
TICKET000268,CUST032068,ATM Withdrawal Failed,2025-02-04,4
TICKET000269,CUST020814,Mobile App Issues,2025-02-04,10
TICKET000270,CUST043138,Poor Customer Service,2024-09-09,3
TICKET000271,CUST063950,Delayed Refund,2025-05-08,2
TICKET000272,CUST090990,ATM Withdrawal Failed,2025-03-01,1
TICKET000273,CUST057358,ATM Withdrawal Failed,2024-11-22,6
TICKET000274,CUST027844,KYC Verification Delay,2025-03-04,10
TICKET000275,CUST088098,Mobile App Issues,2024-09-19,5
TICKET000276,CUST085284,Unauthorized Transaction,2024-08-08,1
TICKET000277,CUST087402,Unauthorized Transaction,2024-06-03,10
TICKET000278,CUST028884,KYC Verification Delay,2024-08-05,4
TICKET000279,CUST027750,Unauthorized Transaction,2025-04-07,2
TICKET000280,CUST012212,ATM Withdrawal Failed,2024-06-26,0
TICKET000281,CUST063484,Unauthorized Transaction,2024-06-01,8
TICKET000282,CUST085984,Card Not Working,2024-11-16,2
TICKET000283,CUST091306,Delayed Refund,2025-02-22,1
TICKET000284,CUST072929,Loan Application Rejected,2024-06-28,8
TICKET000285,CUST040623,Poor Customer Service,2024-08-12,9
TICKET000286,CUST073716,KYC Verification Delay,2024-07-31,8
TICKET000287,CUST010073,Account Locked,2024-10-29,1
TICKET000288,CUST071667,Card Not Working,2024-08-19,7
TICKET000289,CUST040010,Card Not Working,2025-03-18,7
TICKET000290,CUST044846,Unauthorized Transaction,2025-03-07,10
TICKET000291,CUST063601,Incorrect Charges,2024-06-02,0
TICKET000292,CUST040433,Card Not Working,2024-05-08,10
TICKET000293,CUST060475,Account Locked,2025-04-18,5
TICKET000294,CUST009769,Mobile App Issues,2024-12-30,0
TICKET000295,CUST088230,Card Not Working,2024-06-20,3
TICKET000296,CUST021679,KYC Verification Delay,2024-08-11,10
TICKET000297,CUST013257,Delayed Refund,2025-02-21,0
TICKET000298,CUST071200,Mobile App Issues,2024-05-25,7
TICKET000299,CUST007907,Unauthorized Transaction,2024-05-08,9
TICKET000300,CUST023501,Loan Application Rejected,2025-01-20,9
TICKET000301,CUST028870,Delayed Refund,2024-11-27,0
TICKET000302,CUST021453,ATM Withdrawal Failed,2024-12-31,5
TICKET000303,CUST002784,Unauthorized Transaction,2024-11-19,1
TICKET000304,CUST006938,Poor Customer Service,2024-12-08,6
TICKET000305,CUST054196,Loan Application Rejected,2025-04-08,5
TICKET000306,CUST015054,ATM Withdrawal Failed,2024-07-12,4
TICKET000307,CUST062148,Mobile App Issues,2024-12-21,0
TICKET000308,CUST099089,Poor Customer Service,2025-02-06,6
TICKET000309,CUST091586,Unauthorized Transaction,2024-09-11,2
TICKET000310,CUST026990,Delayed Refund,2024-07-28,4
TICKET000311,CUST099450,Loan Application Rejected,2024-06-13,7
TICKET000312,CUST013880,Incorrect Charges,2024-06-25,0
TICKET000313,CUST048488,Unauthorized Transaction,2024-10-27,0
TICKET000314,CUST096967,Delayed Refund,2025-05-05,2
TICKET000315,CUST059104,Account Locked,2024-09-04,8
TICKET000316,CUST045169,Poor Customer Service,2024-09-27,8
TICKET000317,CUST000632,Loan Application Rejected,2025-02-17,9
TICKET000318,CUST006559,Card Not Working,2025-03-08,3
TICKET000319,CUST075713,KYC Verification Delay,2024-06-11,9
TICKET000320,CUST008698,Account Locked,2025-03-15,8
TICKET000321,CUST039209,Poor Customer Service,2025-03-30,7
TICKET000322,CUST001987,Unauthorized Transaction,2025-02-09,1
TICKET000323,CUST079477,Delayed Refund,2025-03-20,3
TICKET000324,CUST034863,ATM Withdrawal Failed,2024-06-02,6
TICKET000325,CUST007246,Unauthorized Transaction,2025-03-05,9
TICKET000326,CUST090116,Card Not Working,2025-04-15,5
TICKET000327,CUST043364,Loan Application Rejected,2024-10-08,9
TICKET000328,CUST083993,KYC Verification Delay,2025-01-27,1
TICKET000329,CUST075109,Mobile App Issues,2025-03-13,4
TICKET000330,CUST018638,Unauthorized Transaction,2024-06-12,5
TICKET000331,CUST065930,Incorrect Charges,2025-03-29,2
TICKET000332,CUST087832,KYC Verification Delay,2024-12-21,9
TICKET000333,CUST097056,Delayed Refund,2024-09-14,5
TICKET000334,CUST064086,Incorrect Charges,2024-11-08,8
TICKET000335,CUST042527,ATM Withdrawal Failed,2024-06-28,3
TICKET000336,CUST079209,Delayed Refund,2025-02-18,10
TICKET000337,CUST053855,Poor Customer Service,2025-03-30,7
TICKET000338,CUST010077,KYC Verification Delay,2024-06-18,2
TICKET000339,CUST047062,Card Not Working,2024-07-23,6
TICKET000340,CUST092123,Card Not Working,2025-03-28,10
TICKET000341,CUST090261,Account Locked,2025-03-14,8
TICKET000342,CUST003627,Mobile App Issues,2024-10-29,1
TICKET000343,CUST043266,Mobile App Issues,2025-04-01,9
TICKET000344,CUST001685,Loan Application Rejected,2025-01-26,3
TICKET000345,CUST066293,KYC Verification Delay,2024-12-07,3
TICKET000346,CUST076779,Incorrect Charges,2024-11-08,1
TICKET000347,CUST006861,Unauthorized Transaction,2024-10-09,8
TICKET000348,CUST039065,Unauthorized Transaction,2024-09-06,10
TICKET000349,CUST061002,ATM Withdrawal Failed,2025-03-06,6
TICKET000350,CUST007399,Poor Customer Service,2025-01-22,4
TICKET000351,CUST036327,Mobile App Issues,2025-01-21,1
TICKET000352,CUST047626,Delayed Refund,2025-04-13,10
TICKET000353,CUST023601,Delayed Refund,2025-02-16,0
TICKET000354,CUST053905,Poor Customer Service,2024-06-26,9
TICKET000355,CUST063134,ATM Withdrawal Failed,2024-12-22,7
TICKET000356,CUST067429,Mobile App Issues,2025-01-09,3
TICKET000357,CUST020825,Delayed Refund,2024-12-07,10
TICKET000358,CUST075386,Unauthorized Transaction,2024-06-12,8
TICKET000359,CUST007100,Unauthorized Transaction,2025-01-02,4
TICKET000360,CUST031646,Delayed Refund,2025-03-15,5
TICKET000361,CUST080214,Mobile App Issues,2025-03-16,0
TICKET000362,CUST094707,Delayed Refund,2025-03-11,10
TICKET000363,CUST031522,Account Locked,2024-05-12,4
TICKET000364,CUST054133,Card Not Working,2025-05-08,9
TICKET000365,CUST042457,Card Not Working,2025-02-28,7
TICKET000366,CUST090201,KYC Verification Delay,2024-07-20,2
TICKET000367,CUST026655,Delayed Refund,2025-02-05,8
TICKET000368,CUST080955,Account Locked,2024-11-14,5
TICKET000369,CUST052459,Delayed Refund,2024-08-01,3
TICKET000370,CUST075734,Unauthorized Transaction,2024-07-04,9
TICKET000371,CUST037322,Unauthorized Transaction,2025-04-05,1
TICKET000372,CUST063768,ATM Withdrawal Failed,2025-03-12,2
TICKET000373,CUST012333,Incorrect Charges,2024-12-17,9
TICKET000374,CUST004444,ATM Withdrawal Failed,2024-12-20,2
TICKET000375,CUST020774,ATM Withdrawal Failed,2024-08-19,9
TICKET000376,CUST002078,Unauthorized Transaction,2025-01-23,7
TICKET000377,CUST018688,Unauthorized Transaction,2024-12-18,10
TICKET000378,CUST018833,Mobile App Issues,2024-10-27,5
TICKET000379,CUST036635,Card Not Working,2024-06-17,1
TICKET000380,CUST056291,ATM Withdrawal Failed,2024-06-20,4
TICKET000381,CUST091118,Unauthorized Transaction,2024-05-31,10
TICKET000382,CUST095514,Delayed Refund,2024-11-30,6
TICKET000383,CUST013017,Loan Application Rejected,2024-06-24,4
TICKET000384,CUST055268,Poor Customer Service,2025-03-26,5
TICKET000385,CUST093897,Card Not Working,2024-11-29,3
TICKET000386,CUST081718,Loan Application Rejected,2024-10-08,7
TICKET000387,CUST004232,Incorrect Charges,2024-09-08,3
TICKET000388,CUST027973,Account Locked,2025-04-01,10
TICKET000389,CUST089601,KYC Verification Delay,2024-09-29,6
TICKET000390,CUST076626,Unauthorized Transaction,2024-09-09,9
TICKET000391,CUST082100,Account Locked,2024-09-03,4
TICKET000392,CUST069171,Incorrect Charges,2024-07-07,0
TICKET000393,CUST008525,Unauthorized Transaction,2025-04-11,4
TICKET000394,CUST072761,ATM Withdrawal Failed,2024-12-29,0
TICKET000395,CUST054206,Card Not Working,2024-10-16,10
TICKET000396,CUST053517,Unauthorized Transaction,2025-03-29,0
TICKET000397,CUST031837,Card Not Working,2024-11-29,9
TICKET000398,CUST039278,Loan Application Rejected,2024-05-22,10
TICKET000399,CUST019734,Unauthorized Transaction,2024-05-18,7
TICKET000400,CUST031735,Unauthorized Transaction,2025-03-06,3
TICKET000401,CUST037388,Delayed Refund,2025-04-29,3
TICKET000402,CUST090384,Account Locked,2024-11-01,0
TICKET000403,CUST005806,Unauthorized Transaction,2024-11-17,5
TICKET000404,CUST028682,Loan Application Rejected,2024-09-05,9
TICKET000405,CUST057824,Poor Customer Service,2025-04-14,1
TICKET000406,CUST099512,Mobile App Issues,2024-12-26,1
TICKET000407,CUST033792,Delayed Refund,2024-09-03,1
TICKET000408,CUST035606,Incorrect Charges,2024-08-05,10
TICKET000409,CUST021144,KYC Verification Delay,2024-08-07,6
TICKET000410,CUST068685,Account Locked,2025-01-27,5
TICKET000411,CUST010463,KYC Verification Delay,2024-10-06,10
TICKET000412,CUST064334,ATM Withdrawal Failed,2024-09-14,6
TICKET000413,CUST019564,ATM Withdrawal Failed,2024-09-12,10
TICKET000414,CUST015487,Incorrect Charges,2024-12-12,2
TICKET000415,CUST005421,KYC Verification Delay,2025-02-05,3
TICKET000416,CUST002582,Mobile App Issues,2025-04-12,4
TICKET000417,CUST052047,Delayed Refund,2024-06-30,10
TICKET000418,CUST050316,KYC Verification Delay,2025-04-06,5
TICKET000419,CUST036131,Mobile App Issues,2024-06-30,0
TICKET000420,CUST036764,Card Not Working,2024-11-30,6
TICKET000421,CUST099669,Loan Application Rejected,2024-10-27,5
TICKET000422,CUST006012,Card Not Working,2024-09-24,6
TICKET000423,CUST005003,Unauthorized Transaction,2024-11-03,9
TICKET000424,CUST089032,Delayed Refund,2024-08-10,4
TICKET000425,CUST016262,Mobile App Issues,2025-03-30,5
TICKET000426,CUST024151,Mobile App Issues,2024-12-04,6
TICKET000427,CUST050125,Mobile App Issues,2024-11-15,5
TICKET000428,CUST096088,ATM Withdrawal Failed,2024-05-24,4
TICKET000429,CUST099062,Unauthorized Transaction,2024-12-15,7
TICKET000430,CUST091284,Incorrect Charges,2025-03-26,7
TICKET000431,CUST098002,Card Not Working,2024-12-18,0
TICKET000432,CUST066448,Loan Application Rejected,2024-10-04,3
TICKET000433,CUST099994,Loan Application Rejected,2024-10-17,6
TICKET000434,CUST085204,Mobile App Issues,2024-11-22,1
TICKET000435,CUST026647,Loan Application Rejected,2024-10-20,4
TICKET000436,CUST031502,Loan Application Rejected,2024-08-27,1
TICKET000437,CUST074837,Mobile App Issues,2024-09-14,3
TICKET000438,CUST085857,Incorrect Charges,2024-05-20,9
TICKET000439,CUST050490,Loan Application Rejected,2025-03-06,3
TICKET000440,CUST020151,Incorrect Charges,2025-03-31,6
TICKET000441,CUST010757,KYC Verification Delay,2024-05-31,6
TICKET000442,CUST051153,Loan Application Rejected,2025-04-15,5
TICKET000443,CUST050540,Loan Application Rejected,2025-04-22,7
TICKET000444,CUST040935,Incorrect Charges,2025-02-20,0
TICKET000445,CUST078331,Poor Customer Service,2025-02-07,7
